comparison	overlapAsymmetric	rateUnique1rep1	rateUnique1rep2	rateUnique2rep1	rateUnique2rep2	rateShared1rep1	rateShared1rep2	rateShared2rep1	rateShared2rep2
Tanne0007-Strep0017	0.178638941398866	-0.0795990334449272	-0.054216580002426	-0.158510886337246	-0.146373872491636	-0.144129539715718	-0.112829175320591	-0.230496611298655	-0.238586229723321
Tanne0007-XFA	0.637122002085506	-0.0767744833306618	-0.0487008115696051	NA	NA	-0.0960915410776933	-0.0722313239318901	NA	NA
Tanne0007-XFB	0.479452054794521	-0.0872950820405019	-0.049429826498109	NA	NA	-0.100348626545185	-0.0803466082477915	NA	NA
EnteC0002-Bacte0126	0.366233766233766	-0.459826749129295	-0.488681053933065	-0.0641624190939259	-0.103258011603506	-0.38208597970036	-0.483137937451928	-0.144265022718359	-0.188173136160861
EnteC0002-Tanne0007	0.319407008086253	-0.49333210611598	-0.519827998987253	-0.0798701021358041	-0.0530573010472585	-0.302765075981599	-0.383648963189366	-0.155745620407949	-0.119517340451075
EnteC0002-EnteC0003	0.67128987517337	-0.180749117154976	-0.18289345021903	-0.11014124493848	-0.116249898345134	-0.587694000669947	-0.655440035476281	-0.172780478110122	-0.208006825025544
EnteC0002-Strep0007	0.589189189189189	-0.173945618739615	-0.20120943978566	-0.177213099645264	-0.168016709966253	-0.709862506439641	-0.780242890431629	-0.15192036365711	-0.14217094260334
EnteC0002-Strep0017	0.36258064516129	-0.414439676190638	-0.43132327677173	-0.137589296181535	-0.137212179845952	-0.480528378840703	-0.536412019683974	-0.256809005812253	-0.239233647467565
EnteC0002-XFA	0.859229747675963	-0.386665256602283	-0.447967632908505	NA	NA	-0.433957500539664	-0.484808720093152	NA	NA
EnteC0002-XFB	0.806408544726302	-0.271149420656673	-0.270578495059627	NA	NA	-0.497494779099671	-0.543502864990583	NA	NA
EnteC0003-Bacte0126	0.355481727574751	-0.138361826196625	-0.155673548806761	-0.0691210016192729	-0.105383791625785	-0.253866910160602	-0.280018545723132	-0.160075015281604	-0.199603738204192
EnteC0003-Tanne0007	0.27072758037225	-0.142800888647098	-0.166484308750618	-0.0800035663934787	-0.0551648199607713	-0.253363154831705	-0.280029924761326	-0.15947762597825	-0.126944310306306
EnteC0003-Tanne0007	0.2707276	-0.142800888647098	-0.166484308750618	-0.0800035663934787	-0.0551648199607713	-0.253363154831705	-0.280029924761326	-0.15947762597825	-0.126944310306306
EnteC0003-EnteC0002	0.835924	-0.11014124493848	-0.116249898345134	-0.180749117154976	-0.18289345021903	-0.172780478110122	-0.208006825025544	-0.587694000669947	-0.655440035476281
EnteC0003-Strep0007	0.8037543	-0.134512910461391	-0.189860374531791	-0.184093071493919	-0.181053617790648	-0.151866205176676	-0.189616849627188	-0.142079673822027	-0.141880575645969
EnteC0003-Strep0017	0.5074627	-0.149001823868485	-0.18919990752448	-0.157584738653004	-0.144364502915353	-0.1522988553295	-0.191238541608454	-0.225132747371123	-0.201937119861759
EnteC0003-XFA	0.8646003	-0.158815431406736	-0.229415241758941	NA	NA	-0.153454452141396	-0.18919990752448	NA	NA
EnteC0003-XFB	0.8519737	-0.144892938420676	-0.209825532559758	NA	NA	-0.160030993006037	-0.195549722529175	NA	NA
Strep0007-Bacte0126	0.3870968	-0.116254301828113	-0.107962616894684	-0.0700512517699538	-0.101839274375595	-0.306254941198222	-0.295806742446817	-0.103194749808806	-0.148659272788584
Strep0007-Tanne0007	0.2858837	-0.146542115659957	-0.135294894358722	-0.0792966621191247	-0.054216580002426	-0.23443164995255	-0.23564166660117	-0.138165813564365	-0.0979032148898893
Strep0007-EnteC0002	0.5069767	-0.177213099645264	-0.168016709966253	-0.173945618739615	-0.20120943978566	-0.15192036365711	-0.14217094260334	-0.709862506439641	-0.780242890431629
Strep0007-EnteC0003	0.5464037	-0.184093071493919	-0.181053617790648	-0.134512910461391	-0.189860374531791	-0.142079673822027	-0.141880575645969	-0.151866205176676	-0.189616849627188
Strep0007-Strep0017	0.5257009	-0.0929131375538705	-0.0805735130009378	-0.196541920984124	-0.171267455905107	-0.293779048838997	-0.257559726186695	-0.180690120119646	-0.171601660995995
Strep0007-XFA	0.8474971	-0.201139024685944	-0.167755137838047	NA	NA	-0.172975455717901	-0.173048419165702	NA	NA
Strep0007-XFB	0.7303103	-0.163180716451877	-0.165580186527688	NA	NA	-0.168038691935443	-0.16779769885896	NA	NA
Strep0017-Bacte0126	0.5017857	-0.139356663723385	-0.13681295518917	-0.0688553003750443	-0.0996876669216315	-0.233395583790197	-0.222427513597114	-0.123987516048432	-0.177896088457561
Strep0017-Tanne0007	0.3480663	-0.158510886337246	-0.146373872491636	-0.0795990334449272	-0.054216580002426	-0.230496611298655	-0.238586229723321	-0.144129539715718	-0.112829175320591
Strep0017-EnteC0002	0.4947183	-0.137589296181535	-0.137212179845952	-0.414439676190638	-0.43132327677173	-0.256809005812253	-0.239233647467565	-0.480528378840703	-0.536412019683974
Strep0017-EnteC0003	0.5454545	-0.157584738653004	-0.144364502915353	-0.149001823868485	-0.18919990752448	-0.225132747371123	-0.201937119861759	-0.1522988553295	-0.191238541608454
Strep0017-Strep0007	0.8364312	-0.196541920984124	-0.171267455905107	-0.0929131375538705	-0.0805735130009378	-0.180690120119646	-0.171601660995995	-0.293779048838997	-0.257559726186695
Strep0017-XFA	0.8578856	-0.195234418369654	-0.161531582439672	NA	NA	-0.187497412877083	-0.172283301109841	NA	NA
Strep0017-XFB	0.7491103	-0.14954829144798	-0.139184292707151	NA	NA	-0.20003630609008	-0.186392861153543	NA	NA
XFA-Bacte0126	0.2593423	NA	NA	-0.0573258284621351	-0.09649009046218	NA	NA	-0.0860042591636144	-0.125597452932005
XFA-Tanne0007	0.2273911	NA	NA	-0.0767744833306618	-0.0487008115696051	NA	NA	-0.0960915410776933	-0.0722313239318901
XFA-EnteC0002	0.2369096	NA	NA	-0.386665256602283	-0.447967632908505	NA	NA	-0.433957500539664	-0.484808720093152
XFA-EnteC0003	0.192029	NA	NA	-0.158815431406736	-0.229415241758941	NA	NA	-0.153454452141396	-0.18919990752448
XFA-Strep0007	0.2686347	NA	NA	-0.201139024685944	-0.167755137838047	NA	NA	-0.172975455717901	-0.173048419165702
XFA-Strep0017	0.1783141	NA	NA	-0.195234418369654	-0.161531582439672	NA	NA	-0.187497412877083	-0.172283301109841
XFA-XFB	0.6607284	NA	NA	NA	NA	NA	NA	NA	NA
XFB-Bacte0126	0.2668258	NA	NA	-0.0720423015069788	-0.108283931297524	NA	NA	-0.0896791564012288	-0.124012454014325
XFB-Tanne0007	0.2181208	NA	NA	-0.0872950820405019	-0.049429826498109	NA	NA	-0.100348626545185	-0.0803466082477915
XFB-EnteC0002	0.2867996	NA	NA	-0.271149420656673	-0.270578495059627	NA	NA	-0.497494779099671	-0.543502864990583
XFB-EnteC0003	0.2434211	NA	NA	-0.144892938420676	-0.209825532559758	NA	NA	-0.160030993006037	-0.195549722529175
XFB-Strep0007	0.289225	NA	NA	-0.163180716451877	-0.165580186527688	NA	NA	-0.168038691935443	-0.16779769885896
XFB-Strep0017	0.1970974	NA	NA	-0.14954829144798	-0.139184292707151	NA	NA	-0.20003630609008	-0.186392861153543
XFB-XFA	0.8399597	NA	NA	NA	NA	NA	NA	NA	NA
