"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family_XI"	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae"	"Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium]_methylpentosum_group"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae"	"Bacteria;Firmicutes;Bacilli;Thermicanales;Thermicanaceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae"
"16S-C-A2-L1_e0017-1-C-A2"	32014	53692	11312	11393	4687	1406	3253	12593	0	0	10106	1083	5657	2992	2921	1076	0	0	212	179	0	112	0	65	25	0	0	12	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A2-L2_e0017-2-C-A2"	14506	32188	4071	11438	2931	1597	3511	0	8228	0	4635	1061	2233	228	1216	967	73	0	97	73	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A2-L3_e0017-3-C-A2"	34819	42013	10498	7615	9593	769	1730	21307	457	0	9192	932	2654	51	2905	1053	607	0	187	130	0	0	0	15	7	0	0	4	7	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A3-L0_e0017-0-C-A3"	38735	64423	17837	18406	12644	4429	15638	1082	1479	0	13867	1338	6848	4714	5931	3287	19	0	376	261	0	12	46	0	24	0	0	15	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A3-L1_e0017-1-C-A3"	51658	68118	13534	10917	12786	1398	3134	23708	303	0	16383	1317	4887	2317	3364	1460	50	0	309	175	0	98	0	82	28	0	0	22	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A3-L2_e0017-2-C-A3"	5397	35189	9990	9249	3233	2126	2189	34184	15336	0	7105	992	2087	40	1892	1495	592	0	106	124	0	7	69	0	13	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A3-L3_e0017-3-C-A3"	39346	50266	13747	18321	9514	2618	3945	21179	10644	0	10537	1662	3884	0	4878	1579	188	0	257	146	0	0	0	11	20	0	0	7	34	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A4-L0_e0017-0-C-A4"	19327	33497	8996	9360	6229	1741	8932	1258	564	0	8392	831	3214	2490	2873	1271	6	0	239	108	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A4-L1_e0017-1-C-A4"	25778	36695	6568	6741	5579	283	1286	20202	0	0	9576	956	2225	3518	1947	1293	0	0	210	141	0	64	0	45	12	0	0	20	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A4-L2_e0017-2-C-A4"	3913	16891	3762	5821	2850	1009	1046	12563	6451	0	3431	437	1026	154	831	664	186	16	91	55	0	10	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A4-L3_e0017-3-C-A4"	23426	31532	7594	8604	2614	649	4462	5521	1458	0	5762	705	2264	181	3144	987	200	0	148	103	0	9	0	21	13	0	0	5	15	0	74	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A5-L0_e0017-0-C-A5"	10909	21153	5190	7515	2661	853	7147	34	1112	0	4225	450	2906	955	2296	973	8	0	123	68	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A5-L1_e0017-1-C-A5"	10291	16211	2678	3389	1732	59	639	8100	91	0	3169	321	982	1211	868	359	0	0	68	39	0	21	0	6	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A5-L2_e0017-2-C-A5"	2145	13131	3226	4920	2017	1186	906	4431	3900	0	2334	427	859	0	862	545	135	0	35	43	0	5	14	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A5-L3_e0017-3-C-A5"	13690	18338	4205	6302	1108	1584	3319	1472	3483	0	3446	444	1457	76	2104	621	0	0	77	61	0	7	0	7	14	0	0	3	4	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L0_e0017-0-C-A6"	33496	55903	18227	15585	11163	5026	21354	2443	992	0	12135	1279	4661	2520	5753	2131	36	4	315	170	11	28	151	0	30	0	0	5	28	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L1_e0017-1-C-A6"	50081	58156	10308	9110	8236	130	2073	26687	0	0	11458	1331	3102	2123	2636	1972	0	0	216	153	0	33	0	39	14	0	0	10	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L2_e0017-2-C-A6"	4906	27035	4037	12293	7320	3560	3195	8215	13443	0	3950	734	1647	581	2091	495	176	9	68	83	0	11	105	0	7	0	0	8	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L3_e0017-3-C-A6"	43254	52663	11972	13533	1005	420	11408	5782	242	0	8949	1171	3336	1100	4935	1138	0	0	182	165	0	13	0	26	14	0	0	5	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L0_e0017-0-C-A7"	27457	46981	12954	12423	4951	2719	16503	659	2011	0	9966	1322	4615	1887	4143	1386	23	0	298	167	0	9	0	0	26	0	0	14	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L1_e0017-1-C-A7"	31134	44074	6946	8337	4715	48	2830	9314	0	0	6683	991	3239	390	2434	932	0	0	161	80	0	36	0	17	15	0	0	8	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L2_e0017-2-C-A7"	14436	32644	6982	11247	10047	3699	2652	3463	8423	0	6139	1020	1367	6	2726	786	196	0	104	97	0	2	0	0	9	0	0	3	13	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L3_e0017-3-C-A7"	39762	48881	14680	15176	4331	8250	12982	2693	0	37	8104	1088	3456	0	5093	1501	0	0	181	155	0	43	0	0	28	0	0	20	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L0_e0017-0-C-A8"	31058	43396	12384	11098	9487	2321	14530	1140	309	0	11098	600	5016	1555	4160	2087	8	0	317	185	0	35	0	0	33	0	0	9	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L1_e0017-1-C-A8"	42190	43561	8061	10012	3697	21	3392	5353	0	0	6718	1104	3015	1218	2847	1141	0	0	138	100	0	55	0	0	18	0	0	9	0	0	54	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L2_e0017-2-C-A8"	11039	31846	4900	13174	9654	4254	5869	527	10349	0	3796	629	999	0	2251	760	75	7	103	107	0	6	84	0	16	0	0	4	8	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L3_e0017-3-C-A8"	27841	40744	8769	9489	1436	13	8173	1381	0	0	5135	739	2385	8	3629	795	0	0	91	42	0	0	0	0	13	0	0	4	0	0	60	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L0_e0017-0-C-A9"	24206	33643	8536	8488	5017	1077	9702	2542	356	0	8624	662	2922	1304	2921	1339	17	0	226	139	0	62	0	0	19	0	0	14	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L1_e0017-1-C-A9"	31704	37575	5707	8307	3770	19	3284	4052	0	2	6556	810	3155	0	2091	864	0	0	111	100	0	50	0	6	9	0	0	13	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L2_e0017-2-C-A9"	8564	18565	2170	6737	2451	810	1487	2194	4373	0	1967	422	911	0	889	325	26	6	44	36	0	20	56	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L3_e0017-3-C-A9"	30101	30621	6486	8494	862	10	4916	115	3	0	4529	541	1793	0	2537	832	0	0	116	56	0	0	0	0	29	0	0	8	0	0	33	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L0_e0017-0-C-B1"	30968	51817	10542	8871	4838	1002	2789	8336	1019	0	9793	594	3749	2644	3437	1251	45	0	168	199	0	66	0	66	15	0	0	22	0	0	57	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
