biosample	media	inoculationreplicate	passage	PCRreplicate	sample	well	round1plate	round1index	round2plate	filename
XBA-029	TYG	2	1	1	XBA-029-TYG-r2-p1-PCR1	A11	0	0	B	16S-A11-L0
XBB-029	TYG	2	1	1	XBB-029-TYG-r2-p1-PCR1	B11	0	1	B	16S-B11-L1
XCA-029	TYG	2	1	1	XCA-029-TYG-r2-p1-PCR1	C11	0	2	B	16S-C11-L2
XCB-029	TYG	2	1	1	XCB-029-TYG-r2-p1-PCR1	D11	0	3	B	16S-D11-L3
XDA-029	TYG	2	1	1	XDA-029-TYG-r2-p1-PCR1	E11	0	4	B	16S-E11-L4
XDB-029	TYG	2	1	1	XDB-029-TYG-r2-p1-PCR1	F11	0	5	B	16S-F11-L5
XFA-029	TYG	2	1	1	XFA-029-TYG-r2-p1-PCR1	G11	0	6	B	16S-G11-L6
XFB-029	TYG	2	1	1	XFB-029-TYG-r2-p1-PCR1	H11	0	7	B	16S-H11-L7
XBA-029	TYG	3	1	1	XBA-029-TYG-r3-p1-PCR1	A12	0	0	B	16S-A12-L0
XBB-029	TYG	3	1	1	XBB-029-TYG-r3-p1-PCR1	B12	0	1	B	16S-B12-L1
XCA-029	TYG	3	1	1	XCA-029-TYG-r3-p1-PCR1	C12	0	2	B	16S-C12-L2
XCB-029	TYG	3	1	1	XCB-029-TYG-r3-p1-PCR1	D12	0	3	B	16S-D12-L3
XDA-029	TYG	3	1	1	XDA-029-TYG-r3-p1-PCR1	E12	0	4	B	16S-E12-L4
XDB-029	TYG	3	1	1	XDB-029-TYG-r3-p1-PCR1	F12	0	5	B	16S-F12-L5
XFA-029	TYG	3	1	1	XFA-029-TYG-r3-p1-PCR1	G12	0	6	B	16S-G12-L6
XFB-029	TYG	3	1	1	XFB-029-TYG-r3-p1-PCR1	H12	0	7	B	16S-H12-L7
XBA-029	BHI	1	1	2	XBA-029-BHI-r1-p1-PCR2	A1	2	2	B	16S-A1-L2
XBB-029	BHI	1	1	2	XBB-029-BHI-r1-p1-PCR2	B1	2	3	B	16S-B1-L3
XCA-029	BHI	1	1	2	XCA-029-BHI-r1-p1-PCR2	C1	2	4	B	16S-C1-L4
XCB-029	BHI	1	1	2	XCB-029-BHI-r1-p1-PCR2	D1	2	5	B	16S-D1-L5
XDA-029	BHI	1	1	2	XDA-029-BHI-r1-p1-PCR2	E1	2	6	B	16S-E1-L6
XDB-029	BHI	1	1	2	XDB-029-BHI-r1-p1-PCR2	F1	2	7	B	16S-F1-L7
XFA-029	BHI	1	1	2	XFA-029-BHI-r1-p1-PCR2	G1	2	0	B	16S-G1-L0
XFB-029	BHI	1	1	2	XFB-029-BHI-r1-p1-PCR2	H1	2	1	B	16S-H1-L1
XBA-029	BHI	2	1	2	XBA-029-BHI-r2-p1-PCR2	A2	2	2	B	16S-A2-L2
XBB-029	BHI	2	1	2	XBB-029-BHI-r2-p1-PCR2	B2	2	3	B	16S-B2-L3
XCA-029	BHI	2	1	2	XCA-029-BHI-r2-p1-PCR2	C2	2	4	B	16S-C2-L4
XCB-029	BHI	2	1	2	XCB-029-BHI-r2-p1-PCR2	D2	2	5	B	16S-D2-L5
XDA-029	BHI	2	1	2	XDA-029-BHI-r2-p1-PCR2	E2	2	6	B	16S-E2-L6
XDB-029	BHI	2	1	2	XDB-029-BHI-r2-p1-PCR2	F2	2	7	B	16S-F2-L7
XFA-029	BHI	2	1	2	XFA-029-BHI-r2-p1-PCR2	G2	2	0	B	16S-G2-L0
XFB-029	BHI	2	1	2	XFB-029-BHI-r2-p1-PCR2	H2	2	1	B	16S-H2-L1
XBA-029	BHI	3	1	2	XBA-029-BHI-r3-p1-PCR2	A3	2	2	B	16S-A3-L2
XBB-029	BHI	3	1	2	XBB-029-BHI-r3-p1-PCR2	B3	2	3	B	16S-B3-L3
XCA-029	BHI	3	1	2	XCA-029-BHI-r3-p1-PCR2	C3	2	4	B	16S-C3-L4
XCB-029	BHI	3	1	2	XCB-029-BHI-r3-p1-PCR2	D3	2	5	B	16S-D3-L5
XDA-029	BHI	3	1	2	XDA-029-BHI-r3-p1-PCR2	E3	2	6	B	16S-E3-L6
XDB-029	BHI	3	1	2	XDB-029-BHI-r3-p1-PCR2	F3	2	7	B	16S-F3-L7
XFA-029	BHI	3	1	2	XFA-029-BHI-r3-p1-PCR2	G3	2	0	B	16S-G3-L0
XFB-029	BHI	3	1	2	XFB-029-BHI-r3-p1-PCR2	H3	2	1	B	16S-H3-L1
XBA-029	mBHI	1	1	2	XBA-029-mBHI-r1-p1-PCR2	A4	2	2	B	16S-A4-L2
XBB-029	mBHI	1	1	2	XBB-029-mBHI-r1-p1-PCR2	B4	2	3	B	16S-B4-L3
XCA-029	mBHI	1	1	2	XCA-029-mBHI-r1-p1-PCR2	C4	2	4	B	16S-C4-L4
XCB-029	mBHI	1	1	2	XCB-029-mBHI-r1-p1-PCR2	D4	2	5	B	16S-D4-L5
XDA-029	mBHI	1	1	2	XDA-029-mBHI-r1-p1-PCR2	E4	2	6	B	16S-E4-L6
XDB-029	mBHI	1	1	2	XDB-029-mBHI-r1-p1-PCR2	F4	2	7	B	16S-F4-L7
XFA-029	mBHI	1	1	2	XFA-029-mBHI-r1-p1-PCR2	G4	2	0	B	16S-G4-L0
XFB-029	mBHI	1	1	2	XFB-029-mBHI-r1-p1-PCR2	H4	2	1	B	16S-H4-L1
XBA-029	mBHI	2	1	2	XBA-029-mBHI-r2-p1-PCR2	A5	2	2	B	16S-A5-L2
XBB-029	mBHI	2	1	2	XBB-029-mBHI-r2-p1-PCR2	B5	2	3	B	16S-B5-L3
XCA-029	mBHI	2	1	2	XCA-029-mBHI-r2-p1-PCR2	C5	2	4	B	16S-C5-L4
XCB-029	mBHI	2	1	2	XCB-029-mBHI-r2-p1-PCR2	D5	2	5	B	16S-D5-L5
XDA-029	mBHI	2	1	2	XDA-029-mBHI-r2-p1-PCR2	E5	2	6	B	16S-E5-L6
XDB-029	mBHI	2	1	2	XDB-029-mBHI-r2-p1-PCR2	F5	2	7	B	16S-F5-L7
XFA-029	mBHI	2	1	2	XFA-029-mBHI-r2-p1-PCR2	G5	2	0	B	16S-G5-L0
XFB-029	mBHI	2	1	2	XFB-029-mBHI-r2-p1-PCR2	H5	2	1	B	16S-H5-L1
XBA-029	mBHI	3	1	2	XBA-029-mBHI-r3-p1-PCR2	A6	2	2	B	16S-A6-L2
XBB-029	mBHI	3	1	2	XBB-029-mBHI-r3-p1-PCR2	B6	2	3	B	16S-B6-L3
XCA-029	mBHI	3	1	2	XCA-029-mBHI-r3-p1-PCR2	C6	2	4	B	16S-C6-L4
XCB-029	mBHI	3	1	2	XCB-029-mBHI-r3-p1-PCR2	D6	2	5	B	16S-D6-L5
XDA-029	mBHI	3	1	2	XDA-029-mBHI-r3-p1-PCR2	E6	2	6	B	16S-E6-L6
XDB-029	mBHI	3	1	2	XDB-029-mBHI-r3-p1-PCR2	F6	2	7	B	16S-F6-L7
XFA-029	mBHI	3	1	2	XFA-029-mBHI-r3-p1-PCR2	G6	2	0	B	16S-G6-L0
XFB-029	mBHI	3	1	2	XFB-029-mBHI-r3-p1-PCR2	H6	2	1	B	16S-H6-L1
XBA-029	mBHImucin	1	1	2	XBA-029-mBHImucin-r1-p1-PCR2	A7	2	2	B	16S-A7-L2
XBB-029	mBHImucin	1	1	2	XBB-029-mBHImucin-r1-p1-PCR2	B7	2	3	B	16S-B7-L3
XCA-029	mBHImucin	1	1	2	XCA-029-mBHImucin-r1-p1-PCR2	C7	2	4	B	16S-C7-L4
XCB-029	mBHImucin	1	1	2	XCB-029-mBHImucin-r1-p1-PCR2	D7	2	5	B	16S-D7-L5
XDA-029	mBHImucin	1	1	2	XDA-029-mBHImucin-r1-p1-PCR2	E7	2	6	B	16S-E7-L6
XDB-029	mBHImucin	1	1	2	XDB-029-mBHImucin-r1-p1-PCR2	F7	2	7	B	16S-F7-L7
XFA-029	mBHImucin	1	1	2	XFA-029-mBHImucin-r1-p1-PCR2	G7	2	0	B	16S-G7-L0
XFB-029	mBHImucin	1	1	2	XFB-029-mBHImucin-r1-p1-PCR2	H7	2	1	B	16S-H7-L1
XBA-029	mBHImucin	2	1	2	XBA-029-mBHImucin-r2-p1-PCR2	A8	2	2	B	16S-A8-L2
XBB-029	mBHImucin	2	1	2	XBB-029-mBHImucin-r2-p1-PCR2	B8	2	3	B	16S-B8-L3
XCA-029	mBHImucin	2	1	2	XCA-029-mBHImucin-r2-p1-PCR2	C8	2	4	B	16S-C8-L4
XCB-029	mBHImucin	2	1	2	XCB-029-mBHImucin-r2-p1-PCR2	D8	2	5	B	16S-D8-L5
XDA-029	mBHImucin	2	1	2	XDA-029-mBHImucin-r2-p1-PCR2	E8	2	6	B	16S-E8-L6
XDB-029	mBHImucin	2	1	2	XDB-029-mBHImucin-r2-p1-PCR2	F8	2	7	B	16S-F8-L7
XFA-029	mBHImucin	2	1	2	XFA-029-mBHImucin-r2-p1-PCR2	G8	2	0	B	16S-G8-L0
XFB-029	mBHImucin	2	1	2	XFB-029-mBHImucin-r2-p1-PCR2	H8	2	1	B	16S-H8-L1
XBA-029	mBHImucin	3	1	2	XBA-029-mBHImucin-r3-p1-PCR2	A9	2	2	B	16S-A9-L2
XBB-029	mBHImucin	3	1	2	XBB-029-mBHImucin-r3-p1-PCR2	B9	2	3	B	16S-B9-L3
XCA-029	mBHImucin	3	1	2	XCA-029-mBHImucin-r3-p1-PCR2	C9	2	4	B	16S-C9-L4
XCB-029	mBHImucin	3	1	2	XCB-029-mBHImucin-r3-p1-PCR2	D9	2	5	B	16S-D9-L5
XDA-029	mBHImucin	3	1	2	XDA-029-mBHImucin-r3-p1-PCR2	E9	2	6	B	16S-E9-L6
XDB-029	mBHImucin	3	1	2	XDB-029-mBHImucin-r3-p1-PCR2	F9	2	7	B	16S-F9-L7
XFA-029	mBHImucin	3	1	2	XFA-029-mBHImucin-r3-p1-PCR2	G9	2	0	B	16S-G9-L0
XFB-029	mBHImucin	3	1	2	XFB-029-mBHImucin-r3-p1-PCR2	H9	2	1	B	16S-H9-L1
XBA-029	TYG	1	1	2	XBA-029-TYG-r1-p1-PCR2	A10	2	2	B	16S-A10-L2
XBB-029	TYG	1	1	2	XBB-029-TYG-r1-p1-PCR2	B10	2	3	B	16S-B10-L3
XCA-029	TYG	1	1	2	XCA-029-TYG-r1-p1-PCR2	C10	2	4	B	16S-C10-L4
XCB-029	TYG	1	1	2	XCB-029-TYG-r1-p1-PCR2	D10	2	5	B	16S-D10-L5
XDA-029	TYG	1	1	2	XDA-029-TYG-r1-p1-PCR2	E10	2	6	B	16S-E10-L6
XDB-029	TYG	1	1	2	XDB-029-TYG-r1-p1-PCR2	F10	2	7	B	16S-F10-L7
XFA-029	TYG	1	1	2	XFA-029-TYG-r1-p1-PCR2	G10	2	0	B	16S-G10-L0
XFB-029	TYG	1	1	2	XFB-029-TYG-r1-p1-PCR2	H10	2	1	B	16S-H10-L1
XBA-029	TYG	2	1	2	XBA-029-TYG-r2-p1-PCR2	A11	2	2	B	16S-A11-L2
XBB-029	TYG	2	1	2	XBB-029-TYG-r2-p1-PCR2	B11	2	3	B	16S-B11-L3
XCA-029	TYG	2	1	2	XCA-029-TYG-r2-p1-PCR2	C11	2	4	B	16S-C11-L4
XCB-029	TYG	2	1	2	XCB-029-TYG-r2-p1-PCR2	D11	2	5	B	16S-D11-L5
XDA-029	TYG	2	1	2	XDA-029-TYG-r2-p1-PCR2	E11	2	6	B	16S-E11-L6
XDB-029	TYG	2	1	2	XDB-029-TYG-r2-p1-PCR2	F11	2	7	B	16S-F11-L7
XFA-029	TYG	2	1	2	XFA-029-TYG-r2-p1-PCR2	G11	2	0	B	16S-G11-L0
XFB-029	TYG	2	1	2	XFB-029-TYG-r2-p1-PCR2	H11	2	1	B	16S-H11-L1
XBA-029	TYG	3	1	2	XBA-029-TYG-r3-p1-PCR2	A12	2	2	B	16S-A12-L2
XBB-029	TYG	3	1	2	XBB-029-TYG-r3-p1-PCR2	B12	2	3	B	16S-B12-L3
XCA-029	TYG	3	1	2	XCA-029-TYG-r3-p1-PCR2	C12	2	4	B	16S-C12-L4
XCB-029	TYG	3	1	2	XCB-029-TYG-r3-p1-PCR2	D12	2	5	B	16S-D12-L5
XDA-029	TYG	3	1	2	XDA-029-TYG-r3-p1-PCR2	E12	2	6	B	16S-E12-L6
XDB-029	TYG	3	1	2	XDB-029-TYG-r3-p1-PCR2	F12	2	7	B	16S-F12-L7
XFA-029	TYG	3	1	2	XFA-029-TYG-r3-p1-PCR2	G12	2	0	B	16S-G12-L0
XFB-029	TYG	3	1	2	XFB-029-TYG-r3-p1-PCR2	H12	2	1	B	16S-H12-L1
XBA-029	BHI	1	3	1	XBA-029-BHI-r1-p3-PCR1	A1	3	3	B	16S-A1-L3
XBB-029	BHI	1	3	1	XBB-029-BHI-r1-p3-PCR1	B1	3	4	B	16S-B1-L4
XCA-029	BHI	1	3	1	XCA-029-BHI-r1-p3-PCR1	C1	3	5	B	16S-C1-L5
XCB-029	BHI	1	3	1	XCB-029-BHI-r1-p3-PCR1	D1	3	6	B	16S-D1-L6
XDA-029	BHI	1	3	1	XDA-029-BHI-r1-p3-PCR1	E1	3	7	B	16S-E1-L7
XDB-029	BHI	1	3	1	XDB-029-BHI-r1-p3-PCR1	F1	3	0	B	16S-F1-L0
XFA-029	BHI	1	3	1	XFA-029-BHI-r1-p3-PCR1	G1	3	1	B	16S-G1-L1
XFB-029	BHI	1	3	1	XFB-029-BHI-r1-p3-PCR1	H1	3	2	B	16S-H1-L2
XBA-029	BHI	2	3	1	XBA-029-BHI-r2-p3-PCR1	A2	3	3	B	16S-A2-L3
XBB-029	BHI	2	3	1	XBB-029-BHI-r2-p3-PCR1	B2	3	4	B	16S-B2-L4
XCA-029	BHI	2	3	1	XCA-029-BHI-r2-p3-PCR1	C2	3	5	B	16S-C2-L5
XCB-029	BHI	2	3	1	XCB-029-BHI-r2-p3-PCR1	D2	3	6	B	16S-D2-L6
XDA-029	BHI	2	3	1	XDA-029-BHI-r2-p3-PCR1	E2	3	7	B	16S-E2-L7
XDB-029	BHI	2	3	1	XDB-029-BHI-r2-p3-PCR1	F2	3	0	B	16S-F2-L0
XFA-029	BHI	2	3	1	XFA-029-BHI-r2-p3-PCR1	G2	3	1	B	16S-G2-L1
XFB-029	BHI	2	3	1	XFB-029-BHI-r2-p3-PCR1	H2	3	2	B	16S-H2-L2
XBA-029	BHI	3	3	1	XBA-029-BHI-r3-p3-PCR1	A3	3	3	B	16S-A3-L3
XBB-029	BHI	3	3	1	XBB-029-BHI-r3-p3-PCR1	B3	3	4	B	16S-B3-L4
XCA-029	BHI	3	3	1	XCA-029-BHI-r3-p3-PCR1	C3	3	5	B	16S-C3-L5
XCB-029	BHI	3	3	1	XCB-029-BHI-r3-p3-PCR1	D3	3	6	B	16S-D3-L6
XDA-029	BHI	3	3	1	XDA-029-BHI-r3-p3-PCR1	E3	3	7	B	16S-E3-L7
XDB-029	BHI	3	3	1	XDB-029-BHI-r3-p3-PCR1	F3	3	0	B	16S-F3-L0
XFA-029	BHI	3	3	1	XFA-029-BHI-r3-p3-PCR1	G3	3	1	B	16S-G3-L1
XFB-029	BHI	3	3	1	XFB-029-BHI-r3-p3-PCR1	H3	3	2	B	16S-H3-L2
XBA-029	mBHI	1	3	1	XBA-029-mBHI-r1-p3-PCR1	A4	3	3	B	16S-A4-L3
XBB-029	mBHI	1	3	1	XBB-029-mBHI-r1-p3-PCR1	B4	3	4	B	16S-B4-L4
XCA-029	mBHI	1	3	1	XCA-029-mBHI-r1-p3-PCR1	C4	3	5	B	16S-C4-L5
XCB-029	mBHI	1	3	1	XCB-029-mBHI-r1-p3-PCR1	D4	3	6	B	16S-D4-L6
XDA-029	mBHI	1	3	1	XDA-029-mBHI-r1-p3-PCR1	E4	3	7	B	16S-E4-L7
XDB-029	mBHI	1	3	1	XDB-029-mBHI-r1-p3-PCR1	F4	3	0	B	16S-F4-L0
XFA-029	mBHI	1	3	1	XFA-029-mBHI-r1-p3-PCR1	G4	3	1	B	16S-G4-L1
XFB-029	mBHI	1	3	1	XFB-029-mBHI-r1-p3-PCR1	H4	3	2	B	16S-H4-L2
XBA-029	mBHI	2	3	1	XBA-029-mBHI-r2-p3-PCR1	A5	3	3	B	16S-A5-L3
XBB-029	mBHI	2	3	1	XBB-029-mBHI-r2-p3-PCR1	B5	3	4	B	16S-B5-L4
XCA-029	mBHI	2	3	1	XCA-029-mBHI-r2-p3-PCR1	C5	3	5	B	16S-C5-L5
XCB-029	mBHI	2	3	1	XCB-029-mBHI-r2-p3-PCR1	D5	3	6	B	16S-D5-L6
XDA-029	mBHI	2	3	1	XDA-029-mBHI-r2-p3-PCR1	E5	3	7	B	16S-E5-L7
XDB-029	mBHI	2	3	1	XDB-029-mBHI-r2-p3-PCR1	F5	3	0	B	16S-F5-L0
XFA-029	mBHI	2	3	1	XFA-029-mBHI-r2-p3-PCR1	G5	3	1	B	16S-G5-L1
XFB-029	mBHI	2	3	1	XFB-029-mBHI-r2-p3-PCR1	H5	3	2	B	16S-H5-L2
XBA-029	mBHI	3	3	1	XBA-029-mBHI-r3-p3-PCR1	A6	3	3	B	16S-A6-L3
XBB-029	mBHI	3	3	1	XBB-029-mBHI-r3-p3-PCR1	B6	3	4	B	16S-B6-L4
XCA-029	mBHI	3	3	1	XCA-029-mBHI-r3-p3-PCR1	C6	3	5	B	16S-C6-L5
XCB-029	mBHI	3	3	1	XCB-029-mBHI-r3-p3-PCR1	D6	3	6	B	16S-D6-L6
XDA-029	mBHI	3	3	1	XDA-029-mBHI-r3-p3-PCR1	E6	3	7	B	16S-E6-L7
XDB-029	mBHI	3	3	1	XDB-029-mBHI-r3-p3-PCR1	F6	3	0	B	16S-F6-L0
XFA-029	mBHI	3	3	1	XFA-029-mBHI-r3-p3-PCR1	G6	3	1	B	16S-G6-L1
XFB-029	mBHI	3	3	1	XFB-029-mBHI-r3-p3-PCR1	H6	3	2	B	16S-H6-L2
XBA-029	mBHImucin	1	3	1	XBA-029-mBHImucin-r1-p3-PCR1	A7	3	3	B	16S-A7-L3
XBB-029	mBHImucin	1	3	1	XBB-029-mBHImucin-r1-p3-PCR1	B7	3	4	B	16S-B7-L4
XCA-029	mBHImucin	1	3	1	XCA-029-mBHImucin-r1-p3-PCR1	C7	3	5	B	16S-C7-L5
XCB-029	mBHImucin	1	3	1	XCB-029-mBHImucin-r1-p3-PCR1	D7	3	6	B	16S-D7-L6
